Date;Spread;Z-Score;Signal
2024-01-02;-284.77169940310733;;
2024-01-03;-284.6614860783688;;
2024-01-04;-282.21832856546837;;
2024-01-05;-280.77883898052477;;
2024-01-08;-280.9303266849989;;
2024-01-09;-280.04349076756506;;
2024-01-10;-283.9745509419904;;
2024-01-11;-293.09095326697695;;
2024-01-12;-291.3851066753415;;
2024-01-16;-294.777443100097;;
2024-01-17;-296.23589867325984;;
2024-01-18;-307.42922495389246;;
2024-01-19;-315.6067188614748;;
2024-01-22;-308.8934904115358;;
2024-01-23;-310.95063424192796;;
2024-01-24;-306.6265813141169;;
2024-01-25;-305.62680843817293;;
2024-01-26;-300.65225635918415;;
2024-01-29;-303.4873210564522;;
2024-01-30;-302.9897577045422;-0.6219697920201258;
2024-01-31;-298.2917061589888;-0.1638473868899813;
2024-02-01;-293.55561846037665;0.3011130590082494;
2024-02-02;-291.4070753174976;0.560972305108925;
2024-02-05;-286.5055829676315;1.0933740559116882;
2024-02-06;-291.57413871045;0.6923595871100053;
2024-02-07;-303.15129015668896;-0.4495359983595135;
2024-02-08;-307.5315516067728;-0.8893805816043533;
2024-02-09;-305.10080929204224;-0.5154770745083309;
2024-02-12;-305.41682393386105;-0.48422112685749225;
2024-02-13;-309.226033161912;-0.89823027681034;
2024-02-14;-320.94882916369994;-2.0548929659766824;BUY
2024-02-15;-323.0789921344232;-1.973044752727638;
2024-02-16;-318.76697325138707;-1.4633043383898037;
2024-02-20;-320.44026072504806;-1.485541752564661;
2024-02-21;-322.63686959159963;-1.544284425475206;
2024-02-22;-335.9439204561894;-2.2386759913006;
2024-02-23;-337.5393653203938;-1.9812842234113552;
2024-02-26;-342.4391225587231;-1.9506430314284922;
2024-02-27;-333.50064394478966;-1.25256579206253;
2024-02-28;-342.6699825120425;-1.5754308922780007;
2024-02-29;-339.85799847579136;-1.271582687082334;
2024-03-01;-330.7917255397149;-0.6970329133932732;
2024-03-04;-331.54757152971473;-0.6628923918517655;
2024-03-05;-330.4210074994124;-0.5244969011845961;
2024-03-06;-328.89274025906303;-0.33894515387455787;
2024-03-07;-334.0786341929885;-0.6636254039773658;
2024-03-08;-329.16374156605224;-0.1804219691880494;EXIT
2024-03-11;-330.4712482207114;-0.20662846994153972;
2024-03-12;-339.4790174603863;-1.0699182024878973;
2024-03-13;-331.590517977864;-0.051954418260077885;
2024-03-14;-328.71462520851065;0.41911672024752966;
2024-03-15;-329.81195642585334;0.32173245663047906;
2024-03-18;-324.41479255967613;1.2758651859804357;
2024-03-19;-328.664707879548;0.7169679518151618;
2024-03-20;-324.2755271008725;1.5662993906504286;
2024-03-21;-322.55229948655585;1.6414973765300236;
2024-03-22;-320.48440498178985;1.7342980049946901;
2024-03-25;-314.81632703626974;2.271822866820493;SELL
2024-03-26;-317.6840324861362;1.6042880773847237;
2024-03-27;-320.379640655468;1.1511059992528887;
2024-03-28;-324.37775688112885;0.4637398380384724;
2024-04-01;-335.06599364666283;-1.2559412642832346;
2024-04-02;-335.0384370495235;-1.1896455105214705;
2024-04-03;-331.7876373094724;-0.6603285084003075;
2024-04-04;-319.0483857463113;1.2136679950402274;
2024-04-05;-321.6505821535355;0.739437075401007;
2024-04-08;-314.9982844808195;1.5450182076308305;
2024-04-09;-322.74462200080035;0.3813397714418227;
2024-04-10;-333.31900989257633;-1.296418952935582;
2024-04-11;-336.5823143820477;-1.676034041647113;
2024-04-12;-335.2829074868609;-1.3672018505403796;
2024-04-15;-334.94207576987304;-1.2387434950107272;
2024-04-16;-340.53434811983936;-1.7322086425308276;
2024-04-17;-332.13284365181073;-0.6509630878409262;
2024-04-18;-331.03989863184916;-0.4718823026920607;
2024-04-19;-328.0718910410259;-0.07147270953389669;EXIT
2024-04-22;-328.2306324624311;-0.04389253555144706;
2024-04-23;-333.46906647923373;-0.6372480389707125;
2024-04-24;-339.7813004986367;-1.370123545284078;
2024-04-25;-337.4730627775312;-0.9544346877591533;
2024-04-26;-344.8373208275204;-1.7366790220359156;
2024-04-29;-346.80855076543696;-1.7581066607910976;
2024-04-30;-335.2691222151821;-0.3496124483393562;
2024-05-01;-305.7551514982004;2.49835030925761;SELL
2024-05-02;-302.1154424760173;2.388941388944097;
2024-05-03;-297.0155328476488;2.31356113297333;
2024-05-06;-305.51071109309214;1.5900643770555885;
2024-05-07;-300.8187078242773;1.6934614475042855;
2024-05-08;-302.9233307012651;1.3880658538800372;
2024-05-09;-304.90914467150094;1.1426463984510216;
2024-05-10;-305.0099334204244;1.0284226676394586;
2024-05-13;-299.208644876398;1.223370788470302;
2024-05-14;-304.5298363163708;0.8363667158759794;
2024-05-15;-305.2066993179622;0.7217015370565705;
2024-05-16;-320.1379166581362;-0.16068033240397994;EXIT
2024-05-17;-319.6314286337269;-0.15737541384560944;
2024-05-20;-312.89951914075925;0.1925445512732737;
2024-05-21;-311.9228799822752;0.1920368246814355;
2024-05-22;-315.4456025902479;-0.1020293122043423;
2024-05-23;-310.79480936629994;0.12102378646509811;
2024-05-24;-313.9209692537351;-0.2391524862037875;
2024-05-28;-306.41252335186925;0.287373741849617;
2024-05-29;-305.09942356352235;0.36778225136781123;
2024-05-30;-301.0180550938975;0.9436229432968665;
2024-05-31;-304.4253589516147;0.448388194985979;
2024-06-03;-315.1622333251434;-1.1061963801703159;
2024-06-04;-324.40191472988005;-2.1201990342836305;BUY
2024-06-05;-324.6268238873766;-1.8573242070526856;
2024-06-06;-329.55366381729027;-2.0828189789013645;
2024-06-07;-329.54051454751715;-1.7889302777935516;
2024-06-10;-319.9214279603332;-0.6767935605390498;
2024-06-11;-316.7067762971888;-0.24978332926808294;
2024-06-12;-321.3604328564304;-0.7127976059267597;
2024-06-13;-325.10040033726284;-1.0536120746004964;
2024-06-14;-319.8169076645986;-0.41579495044960235;
2024-06-17;-322.52213887679085;-0.718929333856916;
2024-06-18;-317.2474015772384;-0.06001318640823451;EXIT
2024-06-20;-308.122572997373;0.9989217700894591;
2024-06-21;-308.3996042112358;0.903695546522077;
2024-06-24;-300.0964282275714;1.6750584310897565;
2024-06-25;-301.2582129080706;1.400566829874054;
2024-06-26;-296.8966283184648;1.6845593114746233;
2024-06-27;-298.041646947233;1.479043621184839;
2024-06-28;-299.74283982428335;1.307506399990103;
2024-07-01;-290.6248407014268;1.8960410801497691;SELL
2024-07-02;-291.24962583008914;1.6148152838962475;
2024-07-03;-289.65598048597803;1.533138046588733;
2024-07-05;-287.1139332049927;1.5229373591567639;
2024-07-08;-282.7536456758845;1.6392709971205317;
2024-07-09;-275.71941166419;1.8822148306768782;
2024-07-10;-285.89037368580216;1.0824354860147003;
2024-07-11;-279.2950947844477;1.3654863331033664;
2024-07-12;-284.8900503127071;0.9079509145633257;
2024-07-15;-273.45363881755753;1.557730690132991;
2024-07-16;-272.93069136550747;1.464209054457235;
2024-07-17;-270.1120679068285;1.5792270473300394;
2024-07-18;-268.20674692546936;1.6202306950262806;
2024-07-19;-263.0569206568807;1.8127454648162011;
2024-07-22;-270.54468794561484;1.1354481726474586;
2024-07-23;-260.4669401404229;1.7443804658881554;
2024-07-24;-252.00154118909535;2.08462900068012;
2024-07-25;-253.4917603543053;1.7344207974341537;
2024-07-26;-259.30729675334396;1.2017976742151852;
2024-07-29;-266.7730275627639;0.5754157669743357;
2024-07-30;-266.9510662687999;0.4875661013157021;
2024-07-31;-271.85852197392416;-0.01232947278195641;EXIT
2024-08-01;-271.025885529924;-0.023162913178467227;
2024-08-02;-272.7814310317586;-0.2893372582135064;
2024-08-05;-273.05634703074156;-0.3893744147882844;
2024-08-06;-287.70351556470825;-1.8051150636087185;BUY
2024-08-07;-281.8995810696001;-1.2671268813799392;
2024-08-08;-287.14330049814345;-1.683643159596454;
2024-08-09;-284.5802326390409;-1.4311175765800068;
2024-08-12;-276.8662273332007;-0.6318133247749712;
2024-08-13;-284.7272514927633;-1.2951791851471441;
2024-08-14;-281.6146838314808;-0.921729242644895;
2024-08-15;-286.29206483856683;-1.2223746048501292;
2024-08-16;-281.5481862043441;-0.7203571276761767;
2024-08-19;-277.6920540287666;-0.34131257314395375;
2024-08-20;-277.8036415659637;-0.28459547449724426;
2024-08-21;-280.10608398211565;-0.4232811343689346;
2024-08-22;-273.8871882944327;0.42882982301304834;
2024-08-23;-268.7391777904858;1.3185729922570608;
2024-08-26;-262.6616184237272;2.0653274168162232;SELL
2024-08-27;-265.1957123543846;1.6654104564642558;
2024-08-28;-270.9608524893189;0.8653735735298196;
2024-08-29;-267.5598951924928;1.271308642148734;
2024-08-30;-264.8931037355172;1.4871714327483587;
2024-09-03;-253.30727326485032;2.3574680000151185;
2024-09-04;-256.9901809143897;1.7298217174595942;
2024-09-05;-260.3181617349572;1.2511127777082607;
2024-09-06;-258.98551610359345;1.2548638003012818;
2024-09-09;-248.69271873477004;1.9468881853046833;
2024-09-10;-245.75847919894437;1.8802191744098253;
2024-09-11;-252.8368065796476;1.1759421575413247;
2024-09-12;-249.3970581906404;1.3224165933335146;
2024-09-13;-246.1292526054021;1.4730886865337982;
2024-09-16;-248.2997336916195;1.1824203936535596;
2024-09-17;-238.90428399026462;1.7854297529231973;
2024-09-18;-231.95096656344947;2.060370202332477;
2024-09-19;-238.67777559015497;1.410251733073391;
2024-09-20;-228.57224513521777;1.983472068159708;
2024-09-23;-229.1985286490945;1.7029069246878383;
2024-09-24;-246.90813701387788;0.26138487026627455;
2024-09-25;-244.90683493402975;0.35353979399070984;
2024-09-26;-268.20962868701133;-1.6274985612872441;
2024-09-27;-274.39679633032364;-2.0128646354338087;BUY
2024-09-30;-272.2510772681599;-1.7301782883397612;
2024-10-01;-267.60544369616423;-1.2614585878392803;
2024-10-02;-267.91591459863207;-1.2010874532843823;
2024-10-03;-257.3186232183989;-0.4623923388082693;
2024-10-04;-253.78279565328404;-0.2302213248505298;
2024-10-07;-258.6836390190103;-0.5429452968550301;
2024-10-08;-251.9626681940802;-0.04069510022226169;EXIT
2024-10-09;-254.14037127638653;-0.19210802401146815;
2024-10-10;-249.6872950465413;0.12818342849736497;
2024-10-11;-252.16486725870732;-0.027931410740271646;
2024-10-14;-252.19276017924938;-0.015953948122891356;
2024-10-15;-242.86729269835286;0.6791374116891201;
2024-10-16;-238.55906684344376;1.051629673609995;
2024-10-17;-241.2965346130659;0.863569894461274;
2024-10-18;-242.30908853556474;0.9082477043989376;
2024-10-21;-241.68946782364384;1.104791169755763;
2024-10-22;-239.40127264252618;1.235877897790268;
2024-10-23;-236.51120963559543;1.3933322777729131;
2024-10-24;-234.24113838388251;1.4222044124753617;
2024-10-25;-239.39138769730909;0.9289740859987544;
2024-10-28;-245.88775077346105;0.25537954289280035;
2024-10-29;-250.90299484405347;-0.38663389856563685;
2024-10-30;-244.76356599970103;0.22398917781863936;
2024-10-31;-236.85989835760415;1.2032105592479911;
2024-11-01;-249.97238258141942;-0.6975650394399847;
2024-11-04;-251.4845886572037;-1.0590898906587596;
2024-11-05;-256.84021881350765;-1.7656818092781166;
2024-11-06;-262.2441626206086;-2.2513455416432535;BUY
2024-11-07;-283.7065264327398;-3.223006450692584;
2024-11-08;-279.3810891795573;-2.300438911591675;
2024-11-11;-268.88310816829556;-1.379543292350369;
2024-11-12;-262.03879648462464;-0.8174890496255464;
2024-11-13;-264.5691586865487;-0.8997074086432314;
2024-11-14;-273.29698059814416;-1.3426720076753436;
2024-11-15;-253.44062462438671;0.022718629658518792;EXIT
2024-11-18;-253.92028984797014;0.03227682075439088;
2024-11-19;-244.5145024735645;0.7122630449249302;
2024-11-20;-248.36412380587404;0.5030032921545544;
2024-11-21;-250.87405242903588;0.4058922158159069;
2024-11-22;-254.159344679347;0.21700936739597895;
2024-11-25;-261.87448329906965;-0.356993876414696;
2024-11-26;-265.02604395524804;-0.5614253439526228;
