Date;Spread;Z-Score;Signal
2024-01-02;-17377.636869777107;;
2024-01-03;-16812.50896112917;;
2024-01-04;-16852.169053625425;;
2024-01-05;-16794.900058509727;;
2024-01-08;-16907.811101734937;;
2024-01-09;-17236.976301633298;;
2024-01-10;-17416.07858166836;;
2024-01-11;-17318.463321200026;;
2024-01-12;-17291.1544888653;;
2024-01-16;-17939.329018165135;;
2024-01-17;-17794.868737623958;;
2024-01-18;-17960.010175046646;;
2024-01-19;-18001.4036705528;;
2024-01-22;-18057.432990992635;;
2024-01-23;-17959.89152522969;;
2024-01-24;-17794.992985914796;;
2024-01-25;-17614.962554534584;;
2024-01-26;-17656.01235729895;;
2024-01-29;-18286.839613660773;;
2024-01-30;-18338.66522720639;-1.574629250079949;
2024-01-31;-17977.273821431205;-0.763018414781883;
2024-02-01;-18293.186211183147;-1.2883718247204023;
2024-02-02;-17793.17885709573;-0.16263529608757146;
2024-02-05;-17629.54900748904;0.34944777544611777;
2024-02-06;-17783.49819570436;0.07269523988846065;
2024-02-07;-17801.40509814741;0.11446691080596105;
2024-02-08;-18005.27041147503;-0.4976346060644296;
2024-02-09;-17940.777423524312;-0.17821428605148049;
2024-02-12;-18030.08776973026;-0.4662159850305436;
2024-02-13;-17785.040134339528;0.6644002563045727;
2024-02-14;-17915.714160348092;0.07446121742181533;
2024-02-15;-17909.396426456165;0.0926274710222075;
2024-02-16;-17777.655004424643;0.664228468973184;
2024-02-20;-17573.66240839057;1.4452427575889404;
2024-02-21;-17716.803210474347;0.7338616336724623;
2024-02-22;-18041.451655616343;-0.6551552572881528;
2024-02-23;-18289.185141903265;-1.558429666955484;
2024-02-26;-19405.832675846992;-3.5099563870560333;BUY
2024-02-27;-18845.93808677303;-1.8490253181355538;
2024-02-28;-18851.1657184825;-1.6773833870353585;
2024-02-29;-18927.88305458942;-1.6115821813885927;
2024-03-01;-18875.823565915292;-1.3768986255676674;
2024-03-04;-18992.2162647897;-1.4157836053448856;
2024-03-05;-18968.363076594414;-1.2355740955754604;
2024-03-06;-18861.105374702835;-0.9457618801046513;
2024-03-07;-18864.700761311287;-0.8610967408647422;
2024-03-08;-18762.901279259946;-0.6145662624101964;
2024-03-11;-18708.332026936718;-0.4560472372562852;
2024-03-12;-19090.21200038151;-1.03387724154092;
2024-03-13;-19087.934395913617;-0.935460097850418;
2024-03-14;-18780.21351552464;-0.3092252680653785;
2024-03-15;-18671.173122305012;-0.032928338339091215;EXIT
2024-03-18;-18738.564288235408;-0.07833237511635333;
2024-03-19;-18819.186323290654;-0.14522267915096945;
2024-03-20;-19115.034146060792;-0.9726853894737917;
2024-03-21;-19294.25083448075;-1.6645326150292914;
2024-03-22;-19408.549366818825;-2.081804373883535;BUY
2024-03-25;-19706.67512166544;-2.859552111190535;
2024-03-26;-20496.300549187697;-3.39217665042737;
2024-03-27;-20887.8846887452;-2.949240524429634;
2024-03-28;-21088.8693026407;-2.514674992706789;
2024-04-01;-20955.6925229632;-1.9575440571409846;
2024-04-02;-21102.219601442004;-1.8241727292442154;
2024-04-03;-21475.11474101041;-1.8965791231154254;
2024-04-04;-20468.246744232107;-0.7974253437172074;
2024-04-05;-20921.91116762037;-1.130194561024178;
2024-04-08;-21312.409685826045;-1.3560290529165733;
2024-04-09;-21152.050391149514;-1.0883934995643962;
2024-04-10;-21529.582579772254;-1.3018751647871658;
2024-04-11;-21424.58071921894;-1.086831993404198;
2024-04-12;-21028.636937251034;-0.6379174348938367;
2024-04-15;-20714.638954164715;-0.2485909681516797;
2024-04-16;-20666.149853318628;-0.10431334248091234;EXIT
2024-04-17;-20460.81884448445;0.2721080420804985;
2024-04-18;-20424.715161552314;0.469837540233128;
2024-04-19;-20041.37586874509;1.2636127078380606;
2024-04-22;-19942.34540691126;1.6480620874729257;
2024-04-23;-20379.558813097396;0.968055130835492;
2024-04-24;-20665.632768737705;0.3667733709399412;
2024-04-25;-20976.668692257153;-0.30797260096286805;
2024-04-26;-21170.907962844947;-0.7215444567323793;
2024-04-29;-22396.55641079605;-2.5801883245199333;BUY
2024-04-30;-22504.391372304228;-2.2507723249922797;
2024-05-01;-21941.17259726159;-1.3330467935989834;
2024-05-02;-21767.672074008187;-0.9822970507420175;
2024-05-03;-21834.684887056206;-0.9860043092336296;
2024-05-06;-22187.144523977335;-1.3406336728777777;
2024-05-07;-21953.71795168521;-0.9581517439871919;
2024-05-08;-21927.373317478294;-0.883954130708373;
2024-05-09;-21944.77976252581;-0.8568029760603116;
2024-05-10;-22002.943453072214;-0.8524246510969721;
2024-05-13;-21629.933427263422;-0.3516683297202971;
2024-05-14;-21639.494317300094;-0.30910464666719584;
2024-05-15;-21940.595335321424;-0.6065749211559863;
2024-05-16;-21745.320835211314;-0.28793890066675487;
2024-05-17;-21729.168395513512;-0.1737676872753899;EXIT
2024-05-20;-21857.373333836505;-0.27620837114021213;
2024-05-21;-21757.81362468411;0.048142807970041855;
2024-05-22;-21693.586811192316;0.39393415485979216;
2024-05-23;-21276.116635814902;1.8209711525679593;SELL
2024-05-24;-21277.865089739327;1.9021452905061573;
2024-05-28;-21582.31978653405;0.8196975796967519;
2024-05-29;-21630.078201168806;0.6004243145608793;
2024-05-30;-21586.19337740403;0.717643333895502;
2024-05-31;-21542.359814467643;0.844862288251908;
2024-06-03;-22175.482536509146;-1.68791838756271;
2024-06-04;-22080.649665834808;-1.3776976541278803;
2024-06-05;-21904.38173452388;-0.6618551961627389;
2024-06-06;-21753.50102985609;-0.06803918994476846;EXIT
2024-06-07;-21755.46550311141;-0.11918222485286627;
2024-06-10;-22319.72155666193;-2.221934549297545;BUY
2024-06-11;-22381.746415584843;-2.042074432197387;
2024-06-12;-22529.687244546338;-2.0959278436351836;
2024-06-13;-22418.230171714542;-1.576998578267183;
2024-06-14;-22168.26118829853;-0.8114786162428839;
2024-06-17;-22639.156909694506;-1.7954085003126108;
2024-06-18;-22701.469247371042;-1.6934458418035558;
2024-06-20;-22317.68206055766;-0.7472104314272584;
2024-06-21;-22181.66224180574;-0.38817427391597437;
2024-06-24;-22675.937193989677;-1.3915088726840725;
2024-06-25;-22431.482057925918;-0.7514158094575467;
2024-06-26;-22071.84030080427;0.24873626584268393;
2024-06-27;-21921.84412466472;0.7301196844012693;
2024-06-28;-21932.14677572386;0.8025848383415196;
2024-07-01;-21451.10233225165;2.1895529805944642;SELL
2024-07-02;-20891.972175987416;2.7708912880172596;
2024-07-03;-21089.967792048006;1.9647297976828042;
2024-07-05;-20934.1186463599;1.9434843789827903;
2024-07-08;-21224.47243697033;1.3210972580726308;
2024-07-09;-20228.292020460533;2.394232740068792;
2024-07-10;-20230.64983116267;1.997344364080065;
2024-07-11;-20011.8833342438;1.9205106049640686;
2024-07-12;-20822.01223096443;0.9049553255314835;
2024-07-15;-20450.035232179853;1.195009073400121;
2024-07-16;-20747.95961041901;0.7806546359186344;
2024-07-17;-20004.00340904477;1.4485590216246924;
2024-07-18;-17147.771507796835;3.1223432480490425;
2024-07-19;-16914.079212274082;2.5497027916166655;
2024-07-22;-17400.799141423617;1.8980900812022998;
2024-07-23;-17736.700292325168;1.5157979372179269;
2024-07-24;-17840.055056337307;1.3139896078720825;
2024-07-25;-17858.614127741952;1.179518105854354;
2024-07-26;-17505.15898141738;1.2565319139320785;
2024-07-29;-17979.807924181958;0.8859611042792382;
2024-07-30;-18006.425759785;0.7852008745247596;
2024-07-31;-17999.657763671403;0.7098178042319462;
2024-08-01;-17911.36511317381;0.687285819377911;
2024-08-02;-18032.396477860133;0.5330353466899945;
2024-08-05;-18068.10575620416;0.4320775291726881;
2024-08-06;-18032.38284384928;0.39052109534423246;
2024-08-07;-17964.10275854785;0.3725152128155363;
2024-08-08;-18395.390197837583;-0.04662473852341727;EXIT
2024-08-09;-18432.41383522082;-0.20793536289396677;
2024-08-12;-18723.543192403515;-0.6688369947818211;
2024-08-13;-18564.702109200814;-0.8394090735261304;
2024-08-14;-18604.4439162945;-1.3872261675772912;
2024-08-15;-18701.19160482101;-1.4671033127560136;
2024-08-16;-18628.808048859264;-1.306713440598453;
2024-08-19;-18172.35747288448;-0.04120262216313117;
2024-08-20;-17931.63093205726;0.6908273695657858;
2024-08-21;-17962.470753988127;0.6278779762619733;
2024-08-22;-17455.084445236003;1.9027589853579219;SELL
2024-08-23;-17842.259363169596;0.9576491388114877;
2024-08-26;-17800.89672576891;1.0297368181290447;
2024-08-27;-17534.36809716782;1.604565138195948;
2024-08-28;-17434.60494111014;1.6585110546449569;
2024-08-29;-17292.599687126534;1.7678995045161339;
2024-08-30;-17341.250652292467;1.4819282039305284;
2024-09-03;-16871.340500451213;2.054153092057357;
2024-09-04;-16965.203593842376;1.643941784943226;
2024-09-05;-17170.867335959803;1.178323540318842;
2024-09-06;-17107.942422918608;1.1537044548908268;
2024-09-09;-17623.287295014587;0.2684051933417602;
2024-09-10;-17473.708923285438;0.4394111749861174;
2024-09-11;-17097.99899802893;1.0054545667474548;
2024-09-12;-16999.248027211233;1.0996127784084109;
2024-09-13;-16910.423117390517;1.2246738804706552;
2024-09-16;-17181.773963093707;0.5917432402788873;
2024-09-17;-17331.550567422033;0.10306579281651569;EXIT
2024-09-18;-17177.92189406976;0.48162414358981886;
2024-09-19;-17297.920814792313;-0.008746570125598393;
2024-09-20;-17409.274397943413;-0.42335296181135956;
2024-09-23;-17670.498276128892;-1.494141167934985;
2024-09-24;-17927.403321251844;-2.333805289890737;BUY
2024-09-25;-17905.577562516683;-1.9784161157871272;
