Date;Spread;Z-Score;Signal
2024-01-02;-502.7538203920858;;
2024-01-03;-493.1655311652596;;
2024-01-04;-496.48461158327103;;
2024-01-05;-505.05059256444605;;
2024-01-08;-513.5175511762249;;
2024-01-09;-518.9303031215097;;
2024-01-10;-521.5943848579088;;
2024-01-11;-521.3763055132748;;
2024-01-12;-520.0907902798881;;
2024-01-16;-511.96193759316714;;
2024-01-17;-506.205037169227;;
2024-01-18;-514.2738644154296;;
2024-01-19;-520.3689110300438;;
2024-01-22;-526.906231083146;;
2024-01-23;-517.5350269242563;;
2024-01-24;-518.3913238024345;;
2024-01-25;-513.1247086041328;;
2024-01-26;-520.1921120959768;;
2024-01-29;-518.2113911303294;;
2024-01-30;-535.6032416855141;-2.0620737816805406;BUY
2024-01-31;-525.1408805266428;-0.929954716873168;
2024-02-01;-541.5975356778347;-2.3274649592355434;
2024-02-02;-552.691086246463;-2.7815210461250257;
2024-02-05;-562.5583780389027;-2.748627084017818;
2024-02-06;-560.5077665181152;-2.1376366173347168;
2024-02-07;-581.240207687372;-2.5864165785795254;
2024-02-08;-591.0754272908877;-2.4046596495766313;
2024-02-09;-585.6848664549018;-1.8548766668262766;
2024-02-12;-586.3111668313138;-1.6356095870733092;
2024-02-13;-600.8609991607835;-1.8400397022814379;
2024-02-14;-625.2253744472569;-2.1813460669260953;
2024-02-15;-632.8340810054813;-2.0217179531558163;
2024-02-16;-638.9570808716896;-1.866080717087283;
2024-02-20;-638.4167633754992;-1.6205002331381473;
2024-02-21;-642.4051483166871;-1.5203812102218768;
2024-02-22;-657.8953610889021;-1.6442881217575012;
2024-02-23;-665.3389293886039;-1.6123974295875563;
2024-02-26;-677.4209853901634;-1.6606341247949918;
2024-02-27;-673.7866706437702;-1.447159061884705;
2024-02-28;-684.4012274391239;-1.5002603285304879;
2024-02-29;-688.4247780416581;-1.4610301737223477;
2024-03-01;-701.7962117323466;-1.5846278488093315;
2024-03-04;-718.8918697363048;-1.742632665607161;
2024-03-05;-700.451999709547;-1.2425599915731391;
2024-03-06;-713.4858563432844;-1.4083985120170577;
2024-03-07;-752.3814097254469;-1.9782868845521904;
2024-03-08;-759.1337574748087;-1.8566113449888557;
2024-03-11;-743.5647655572103;-1.4143924975513973;
2024-03-12;-752.0598399862693;-1.4749856671246868;
2024-03-13;-765.5976479182892;-1.6167319042372443;
2024-03-14;-748.9222804011213;-1.1446470976376624;
2024-03-15;-759.865696167968;-1.267324119583829;
2024-03-18;-764.883444075447;-1.261776035375278;
2024-03-19;-784.6623213513874;-1.5675605206361465;
2024-03-20;-783.4614421766661;-1.423529368538758;
2024-03-21;-797.4665277155988;-1.5984661956454416;
2024-03-22;-792.6674419503788;-1.3593449739690353;
2024-03-25;-781.23596707664;-0.9837643170602477;
2024-03-26;-778.2291966601615;-0.8342620624944305;
2024-03-27;-811.0293531731078;-1.6136952273638532;
2024-03-28;-784.2346654763622;-0.7766516138946917;
2024-04-01;-783.4939707628296;-0.6825887464900361;
2024-04-02;-759.570538841987;0.23223664007083133;
2024-04-03;-823.7168611108234;-2.0519130087998443;
2024-04-04;-838.9572651118767;-2.3804751515676648;
2024-04-05;-903.4865371142334;-3.167363654438203;
2024-04-08;-903.6129969964909;-2.4613628193917734;
2024-04-09;-887.4641116712568;-1.8172542567703607;
2024-04-10;-906.394760931227;-1.8901923619523147;
2024-04-11;-915.2372121594092;-1.7740455800683634;
2024-04-12;-899.809928140971;-1.3483726340350122;
2024-04-15;-890.9092446672015;-1.0791736734654844;
2024-04-16;-912.9493268577348;-1.3185576517348148;
2024-04-17;-904.6836143536805;-1.0615757598108126;
2024-04-18;-882.3467969298478;-0.6043268828981346;
2024-04-19;-842.0607829539395;0.14408484507097905;EXIT
2024-04-22;-856.7550946045369;-0.06361694813920642;
2024-04-23;-945.561749222145;-1.5246772955203298;
2024-04-24;-919.51814247162;-0.962929987151293;
2024-04-25;-935.0843989751286;-1.1363532916212353;
2024-04-26;-946.6230642221201;-1.2529447314686175;
2024-04-29;-959.4262991720975;-1.4144423960498107;
2024-04-30;-943.8269823169504;-1.1358971019687887;
2024-05-01;-926.8326032108321;-0.6200776648135122;
2024-05-02;-945.1348350170317;-1.1043436718729132;
2024-05-03;-953.1402293630648;-1.2321151265559598;
2024-05-06;-977.6515926740884;-1.7271604713670223;
2024-05-07;-984.9415528237644;-1.6846601515512423;
2024-05-08;-979.4691197110898;-1.3690345646366566;
2024-05-09;-967.846216598866;-0.9785455860018267;
2024-05-10;-936.6954267929148;-0.15532481509596713;
2024-05-13;-910.0745870543739;0.5554669458493433;
2024-05-14;-911.9158195835789;0.5061115535505908;
2024-05-15;-940.0512201988912;-0.17823763614632324;
2024-05-16;-925.7185929244272;0.2670608163121055;
2024-05-17;-914.6334623367252;0.828192010507128;
2024-05-20;-909.7815618934362;1.3607407558868931;
2024-05-21;-923.7810209073755;0.7079210871087246;
2024-05-22;-921.0060421355334;0.8301494367268386;
2024-05-23;-952.7600911474726;-0.47014345497469034;
2024-05-24;-963.907986434083;-0.8834190386817719;
2024-05-28;-973.1929351507385;-1.2027924342598046;
2024-05-29;-935.5975176901932;0.28368832722675247;
2024-05-30;-936.3667548734093;0.274514984104393;
2024-05-31;-941.3304929233494;0.06695960018587219;
2024-06-03;-911.7479218705109;1.1373895240470724;
2024-06-04;-912.0653351597455;1.027681204836299;
2024-06-05;-919.8497202706196;0.645558840068479;
2024-06-06;-908.084889925746;1.1050011922198206;
2024-06-07;-919.2710095491784;0.4861358241605783;
2024-06-10;-928.9986681878631;-0.05315343850786355;
2024-06-11;-913.3920436622889;0.7986434985744156;
2024-06-12;-918.0900756065641;0.5687098048033757;
2024-06-13;-880.4452478676144;2.15062842952309;SELL
2024-06-14;-882.0743523555343;1.7862511922085649;
2024-06-17;-934.8666251606385;-0.4554655514512145;
2024-06-18;-946.065793750864;-0.8530297004661479;
2024-06-20;-940.5566221441965;-0.5760044105347917;
2024-06-21;-933.7941153904067;-0.26185765160358576;
2024-06-24;-906.7660194828761;0.798961811557833;
2024-06-25;-899.721440731652;1.0170246719619156;
2024-06-26;-907.2487281132455;0.620426434571337;
2024-06-27;-908.9294113584917;0.46658553286885546;
2024-06-28;-895.7411884901243;1.072343234941937;
2024-07-01;-897.541386326174;0.8865554800280829;
2024-07-02;-911.5113897359258;0.09807801479614346;EXIT
2024-07-03;-921.6540858795886;-0.4444263223253697;
2024-07-05;-905.7382146925538;0.40811001290006754;
2024-07-08;-927.9686470236085;-0.7700302638206203;
2024-07-09;-919.9824927856915;-0.3270245586886054;
2024-07-10;-937.3080973151627;-1.229335503097272;
2024-07-11;-909.1567341429611;0.27404545453277285;
2024-07-12;-887.1097499270136;1.3097674700194593;
2024-07-15;-889.4853765189403;1.2558882618232705;
2024-07-16;-908.0041984847128;0.3700286686226366;
2024-07-17;-857.692408251092;2.5333131416043497;SELL
2024-07-18;-875.1947440027758;1.549659858349923;
2024-07-19;-879.966439220447;1.2142648502010398;
2024-07-22;-905.6294169675723;-0.16239166921500292;EXIT
2024-07-23;-972.0545230550533;-2.73440900771405;BUY
2024-07-24;-901.9462590812225;0.1673990988968812;EXIT
2024-07-25;-919.3175811797296;-0.5222461546764964;
2024-07-26;-953.0505150501981;-1.670635826885342;
2024-07-29;-951.2790575329644;-1.4220599918940489;
2024-07-30;-928.852234781979;-0.5616486941385108;
2024-07-31;-951.7226601971;-1.249808228958798;
2024-08-01;-950.3215657848267;-1.1141061902591143;
2024-08-02;-883.855271582692;1.0181601643165816;
2024-08-05;-876.721910721501;1.1284481375496866;
2024-08-06;-887.6533967639455;0.7274933054567202;
2024-08-07;-883.6044524433103;0.7704155009740645;
2024-08-08;-907.9277044364724;0.01975615723482876;
2024-08-09;-919.7528482545044;-0.2969163925334938;
2024-08-12;-920.7199431889492;-0.2810690417177869;
2024-08-13;-928.5898548331184;-0.49258330872321304;
2024-08-14;-927.9441236923714;-0.3950960774270135;
2024-08-15;-942.7068050651048;-0.8122968528873552;
2024-08-16;-935.1494338306693;-0.4719828265079088;
2024-08-19;-945.1830687202685;-0.766810486993117;
2024-08-20;-936.1165241274387;-0.5430073584229305;
2024-08-21;-941.5069482116235;-0.6846661438527543;
2024-08-22;-927.4725672014151;-0.09995636033142731;
2024-08-23;-936.9887623700525;-0.5335820026449474;
2024-08-26;-936.4978065806769;-0.5593484140283818;
2024-08-27;-935.5564310342645;-0.5017741526353404;
2024-08-28;-940.6666854895093;-0.7620064986949325;
2024-08-29;-953.4688754331248;-1.3033853299571176;
2024-08-30;-959.4191144491042;-1.4373820011019813;
2024-09-03;-886.7499807896903;1.9195300432968232;SELL
2024-09-04;-898.8907314919097;1.4432129206353246;
2024-09-05;-887.3376841222105;2.0628214624611476;
2024-09-06;-868.3070023823432;2.4551264570625144;
2024-09-09;-900.5879373215205;1.022942344118789;
2024-09-10;-914.4568668991631;0.4385469095087568;
2024-09-11;-913.3221900600738;0.45140689044772914;
2024-09-12;-940.974815264454;-0.6401949467639801;
2024-09-13;-997.468766431273;-2.3631640820030335;BUY
2024-09-16;-1020.603868614962;-2.4550890700180625;
2024-09-17;-1006.9847449837685;-1.8087942894203133;
2024-09-18;-1029.4861182512595;-1.9938726207383979;
2024-09-19;-1048.7736024314474;-2.0251068927970604;
2024-09-20;-1060.0985555027169;-1.8997823974681174;
2024-09-23;-1064.6943068729631;-1.713000988900521;
2024-09-24;-1063.3457874372525;-1.4929677555507175;
2024-09-25;-1064.399638246721;-1.3460039249248523;
2024-09-26;-1029.9196896632807;-0.7757078143463044;
2024-09-27;-1034.2904810704206;-0.7695898759922197;
2024-09-30;-1057.9991631446835;-1.0062174820471457;
2024-10-01;-1039.6933703913533;-0.6772692003375798;
2024-10-02;-1043.4359561807382;-0.6528380477085303;
2024-10-03;-1026.28896767367;-0.3209241256619778;
2024-10-04;-1049.1828158770845;-0.6285664188516817;
2024-10-07;-1042.6484755274216;-0.4316897140711694;
2024-10-08;-1052.197100926263;-0.5757595671710207;
2024-10-09;-1065.6680578751366;-0.9675298599120812;
2024-10-10;-1060.8192225936962;-0.9056051588120023;
2024-10-11;-1083.4414424953131;-1.9373934552334156;
2024-10-14;-1092.4504346266583;-2.0651919949820994;
2024-10-15;-1075.3399936261467;-1.171537269197169;
2024-10-16;-1084.7125299428765;-1.5177293612333356;
2024-10-17;-1085.2899588621217;-1.3786930210455972;
2024-10-18;-1086.0410850013536;-1.2869992150655745;
2024-10-21;-1101.5852414335368;-1.786712136141768;
2024-10-22;-971.7365222897542;2.8564863969091467;SELL
2024-10-23;-1010.8753300567798;1.383861981927155;
2024-10-24;-997.2057002204663;1.6532512896057905;
2024-10-25;-992.4473754607037;1.6158723079821162;
2024-10-28;-962.4035754049455;2.03353342223568;
2024-10-29;-952.0911649450404;1.938888068718036;
2024-10-30;-954.9181750579481;1.6434423447998776;
2024-10-31;-933.9408347444489;1.7888623469308558;
2024-11-01;-933.9332531218513;1.569375510860951;
2024-11-04;-925.553644688519;1.509676610133131;
2024-11-05;-945.3556440786587;1.0830167240741793;
2024-11-06;-971.363388785252;0.6142904330727479;
2024-11-07;-964.0845660199645;0.6551021517478693;
2024-11-08;-1007.7102823419641;-0.08516872374396002;EXIT
2024-11-11;-998.1371645372104;-0.006912830074745886;
2024-11-12;-974.6325204853713;0.32729661256248327;
2024-11-13;-982.9611091693083;0.09159502558255563;
2024-11-14;-938.9579945523187;0.8923967022232866;
2024-11-15;-939.3435268202514;0.8433712330263033;
2024-11-18;-944.643327228907;0.7761795621899761;
2024-11-19;-941.1443865118279;0.8356854590047477;
2024-11-20;-942.894309854859;0.6979776873512942;
2024-11-21;-941.973752669169;0.6581894002980914;
2024-11-22;-957.813024744142;-0.09643932330360154;
2024-11-25;-956.3848406137033;-0.04528087813980021;
2024-11-26;-987.6336285232844;-1.321151738361892;
2024-11-27;-953.877196009058;0.1404564010733294;
2024-11-29;-962.2252479646006;-0.1647081627493844;
2024-12-02;-952.2962490750357;0.32912768726958636;
2024-12-03;-957.3086956305011;0.18425221134651779;
2024-12-04;-971.6563198704354;-0.4648471273054254;
2024-12-05;-898.6012345559279;2.461640768083852;SELL
2024-12-06;-914.8940757172501;1.5751304172029952;
2024-12-09;-891.1054237047204;2.1839124740956444;
2024-12-10;-889.256520406225;1.9905572638253282;
2024-12-11;-871.4428677409423;2.1688311926512136;
2024-12-12;-833.7179996536129;2.608542268038721;
2024-12-13;-844.3168451722552;1.957096126819912;
2024-12-16;-843.2863647173813;1.713390156230218;
2024-12-17;-828.3608073727846;1.750737084684285;
2024-12-18;-785.1264893332036;2.132819038137061;
2024-12-19;-825.1752984437192;1.2917189259746686;
2024-12-20;-845.6535137160964;0.8651559983389794;
2024-12-23;-850.7319474040635;0.7034121097171436;
2024-12-24;-864.3275219178211;0.41251042850431197;
2024-12-26;-871.0449834914657;0.21637407673519637;
2024-12-27;-860.3359578058117;0.34407927502429225;
2024-12-30;-850.3792369449105;0.4619576979532234;
2024-12-31;-843.5946893597247;0.5290322992334494;
