Date;Spread;Z-Score;Signal
2024-01-02;-188.5640169695376;;
2024-01-03;-187.63936223328193;;
2024-01-04;-191.27523428579048;;
2024-01-05;-202.2039338794459;;
2024-01-08;-213.8230075746023;;
2024-01-09;-209.55289387748815;;
2024-01-10;-234.01538066338838;;
2024-01-11;-225.7821901799528;;
2024-01-12;-234.40902861065842;;
2024-01-16;-220.6585915879188;;
2024-01-17;-226.69901182943482;;
2024-01-18;-242.7420883056676;;
2024-01-19;-247.09360984897603;;
2024-01-22;-240.1205163630628;;
2024-01-23;-244.44768901511003;;
2024-01-24;-252.5855766357085;;
2024-01-25;-249.7179169352745;;
2024-01-26;-254.7249020011883;;
2024-01-29;-265.79528181331614;;
2024-01-30;-267.1179889264903;-1.507567967540483;
2024-01-31;-254.3399067265189;-0.9100794541512255;
2024-02-01;-258.9876863403199;-1.046015547027289;
2024-02-02;-407.3433749518281;-3.8200464615697447;BUY
2024-02-05;-386.7922948106065;-2.5634952292883444;
2024-02-06;-370.3166354623943;-1.9019544232419778;
2024-02-07;-389.7974566724516;-1.918232552399522;
2024-02-08;-390.47904728358236;-1.674552139753461;
2024-02-09;-429.39446907640877;-1.9257175533708704;
2024-02-12;-429.8342277967628;-1.6791647582966671;
2024-02-13;-418.52740778587565;-1.3700434482861388;
2024-02-14;-436.740638044252;-1.4300587140494776;
2024-02-15;-453.2994525362437;-1.4538335508623237;
2024-02-16;-443.578541541562;-1.2044446390384969;
2024-02-20;-444.7987680768781;-1.1055493975128832;
2024-02-21;-441.15771463415246;-0.9653037886540126;
2024-02-22;-471.26446417864395;-1.2120928138950604;
2024-02-23;-471.45839127235996;-1.1141205879659795;
2024-02-26;-470.9201064733908;-1.0214385940561472;
2024-02-27;-485.99592670860034;-1.136908855756441;
2024-02-28;-481.6419469776358;-1.0121285686946435;
2024-02-29;-494.69220942296926;-1.2274273892893384;
2024-03-01;-507.6642210432765;-1.7009178450975784;
2024-03-04;-511.5446862070348;-1.5806643258488615;
2024-03-05;-503.50268476291507;-1.263144165121881;
2024-03-06;-514.6288014610566;-1.4532472480547105;
2024-03-07;-541.6199192746567;-1.9397055524605271;
2024-03-08;-533.614760967412;-1.6181840992688172;
2024-03-11;-485.48861448318337;-0.2386353632321615;
2024-03-12;-519.6731682008422;-1.102721926934613;
2024-03-13;-510.7921788283401;-0.7752929081435519;
2024-03-14;-507.01394007002796;-0.5808021553538433;
2024-03-15;-492.10993177010954;-0.01584438000049251;EXIT
2024-03-18;-514.2172940843877;-0.7164149172376113;
2024-03-19;-511.15293041305813;-0.5280031970282286;
2024-03-20;-519.2242328696232;-0.8333933390671079;
2024-03-21;-512.6166709576651;-0.4307529707050053;
2024-03-22;-515.192171050785;-0.49184594629782385;
2024-03-25;-521.1534994815472;-0.7767944175241441;
2024-03-26;-506.2478490853537;0.2727857950652558;
2024-03-27;-501.71758352532515;0.7297174834260827;
2024-03-28;-481.64896319633556;2.044081298780254;SELL
2024-04-01;-488.1077488561113;1.4309105209590631;
2024-04-02;-500.6423754525234;0.5540984187833248;
2024-04-03;-511.97509905807595;-0.1680718677329734;EXIT
2024-04-04;-526.0007351957903;-1.032497290389564;
2024-04-05;-552.6090551695788;-2.5019996836928446;BUY
2024-04-08;-529.8913185128972;-1.1788713501317054;
2024-04-09;-522.4486342662085;-0.6525834527132405;
2024-04-10;-535.4011070793028;-1.362044547719603;
2024-04-11;-543.9015853985015;-1.6411718091018317;
2024-04-12;-534.5439329674125;-1.0138320852889933;
2024-04-15;-518.3480999765824;-0.05736973286556516;EXIT
2024-04-16;-517.0329476740305;0.026511066324030965;
2024-04-17;-513.1661871814815;0.25570981617447247;
2024-04-18;-534.7611537935429;-0.9242463767931482;
2024-04-19;-495.9930772034835;1.1712784912902041;
2024-04-22;-499.0807514317604;0.936456023521687;
2024-04-23;-520.9481954546952;-0.2241526889758013;
2024-04-24;-512.8632517081858;0.22396230680376297;
2024-04-25;-413.3664970073871;3.340560447723809;SELL
2024-04-26;-413.94331231333234;2.610320699715664;
2024-04-29;-394.50731267981297;2.4738175729129215;
2024-04-30;-394.13149837024844;2.0651264108943734;
2024-05-01;-411.2528992882322;1.5239865810305224;
2024-05-02;-414.9695718015336;1.3010356714273477;
2024-05-03;-426.1306305303568;1.0003969871482647;
2024-05-06;-444.7556280121674;0.5991969043818643;
2024-05-07;-449.58641567168775;0.45232657457892356;
2024-05-08;-464.5854056110865;0.11891447412766384;EXIT
2024-05-09;-470.71314676707027;-0.06931578175671554;
2024-05-10;-471.5981122549607;-0.1576054078667683;
2024-05-13;-461.8140355529381;-0.012066096446710287;
2024-05-14;-466.09774092584547;-0.1676987496109919;
2024-05-15;-475.25606614746135;-0.43537234384154205;
2024-05-16;-465.4492545373671;-0.3160427278137128;
2024-05-17;-457.8865704281175;-0.17419515420745552;
2024-05-20;-443.28406918638643;0.15242239205787708;
2024-05-21;-433.8843395743538;0.33645148960260185;
2024-05-22;-442.1339534479796;-0.05169992853065982;
2024-05-23;-433.41134962997137;0.3250907147885258;
2024-05-24;-450.18458151644177;-0.26506486461190365;
2024-05-28;-447.0440491189929;-0.03785772216139705;
2024-05-29;-428.26226162223185;1.0382352491508104;
2024-05-30;-414.26168903634965;1.8142942892685152;SELL
2024-05-31;-412.17264584275586;1.8914978198867252;
2024-06-03;-422.68799799393355;1.3105985854818523;
2024-06-04;-415.044972077037;1.5248225888307856;
2024-06-05;-444.6907262262617;0.06511068588778089;EXIT
2024-06-06;-447.33896726588785;-0.10891422278819442;
2024-06-07;-448.43947062420153;-0.22995436080700152;
2024-06-10;-478.74701770545266;-1.7431783132967797;
2024-06-11;-493.7488134490166;-2.1403782045241146;BUY
2024-06-12;-492.96600523308166;-1.8772783977044811;
2024-06-13;-489.71091845478816;-1.6416262840694122;
2024-06-14;-487.1785325710731;-1.430204070275694;
2024-06-17;-496.32488086809184;-1.5839666196276156;
2024-06-18;-488.7860328216995;-1.1929789724787903;
2024-06-20;-494.0627581358594;-1.22971358754174;
2024-06-21;-471.70550795685773;-0.45242083643728415;
2024-06-24;-475.15362480088925;-0.5022560457689677;
2024-06-25;-499.0390113554663;-1.1663534632675816;
2024-06-26;-508.1059361809291;-1.3009989836661533;
2024-06-27;-521.8161472070806;-1.52630393109775;
2024-06-28;-497.32014579875437;-0.7277106131003905;
2024-07-01;-501.65216656144867;-0.8003852215874376;
2024-07-02;-509.66161893757834;-1.0153453276449214;
2024-07-03;-513.848962003402;-1.1964393440970693;
2024-07-05;-575.1691788461162;-2.9998630397947945;
2024-07-08;-554.5343138517158;-1.9761600707326785;
2024-07-09;-563.4411857089506;-2.039816104924824;
2024-07-10;-573.7790159803228;-2.0192490047438287;
2024-07-11;-524.7160666180139;-0.40808491309325345;
2024-07-12;-493.4600610582619;0.5920313624239228;
2024-07-15;-488.4874484253804;0.7479690098093694;
2024-07-16;-474.24403949363307;1.15757360688432;
2024-07-17;-434.272616415953;2.039210890844604;SELL
2024-07-18;-459.05312574258136;1.2647638477479828;
2024-07-19;-460.7602659037691;1.1359539354545485;
2024-07-22;-480.3057863774315;0.6509415372494963;
2024-07-23;-479.08615538720363;0.6903479928043206;
2024-07-24;-424.1922967393515;1.8257350039264206;
2024-07-25;-416.9202386582047;1.7272880286714563;
2024-07-26;-438.69515231829536;1.1363999177010882;
2024-07-29;-438.85836015107736;1.0396501022809048;
2024-07-30;-436.1500135100278;1.0007297407508664;
2024-07-31;-456.4732871808047;0.5467364326182653;
2024-08-01;-512.6967605197004;-0.5585584574848396;
2024-08-02;-501.2617485483697;-0.4455418726066181;
2024-08-05;-490.07085450057804;-0.2948202122360377;
2024-08-06;-522.7512931373925;-1.1946566703867114;
2024-08-07;-525.8767357037618;-1.531962631419952;
2024-08-08;-555.7728941007143;-2.1631682097431275;BUY
2024-08-09;-553.5999031916135;-1.838860132823371;
2024-08-12;-543.0437501946117;-1.4319577081341888;
2024-08-13;-573.6478435732267;-1.822175714297572;
2024-08-14;-570.219163268751;-1.5485812944111799;
2024-08-15;-585.8167512527434;-1.6201289542573196;
2024-08-16;-556.9206872834482;-0.9823673460099509;
2024-08-19;-558.7944915699356;-0.9266399904220872;
2024-08-20;-541.5500185723348;-0.5609369031741549;
2024-08-21;-542.17550374067;-0.4971286543931182;
2024-08-22;-540.0704301800199;-0.3778077753250603;
2024-08-23;-530.6973758772085;-0.09018781317891943;EXIT
2024-08-26;-514.9183266330281;0.4152113147114588;
2024-08-27;-509.9695483201241;0.7819763133735489;
2024-08-28;-510.75801742756124;1.0135479349966743;
2024-08-29;-509.12649798769627;1.0619001140506568;
2024-08-30;-511.4310887263802;1.0179975650568094;
2024-09-03;-510.2922315597187;1.1776044084446413;
2024-09-04;-505.9471760876136;1.2784844226934278;
2024-09-05;-516.5153139270852;0.8211492977565937;
2024-09-06;-486.66666412633265;1.738736449532481;
2024-09-09;-495.99155261749195;1.2489134883160513;
2024-09-10;-500.2401327412033;0.996219641787781;
2024-09-11;-520.7127561101843;0.1977802918091704;
2024-09-12;-542.8963885813918;-0.7426319450076458;
2024-09-13;-545.1892621042168;-1.092974633198161;
2024-09-16;-561.6242167914027;-1.836459152063139;BUY
2024-09-17;-566.5859902601383;-1.9817413971954576;
2024-09-18;-567.8573369825535;-1.8239309837176494;
2024-09-19;-606.6523207305938;-2.6411283457703183;
2024-09-20;-624.9851491605834;-2.5185399992013346;
2024-09-23;-627.9903397884402;-2.1342377493025944;
2024-09-24;-622.579272313584;-1.7309607672538263;
2024-09-25;-632.3140747153823;-1.6834246846845713;
2024-09-26;-628.7718500301631;-1.4296546011518203;
2024-09-27;-623.9392458936734;-1.2019351978071762;
2024-09-30;-631.5788687785907;-1.20975210845464;
2024-10-01;-648.488112874144;-1.360977103585591;
2024-10-02;-639.0372651026319;-1.080225235173248;
2024-10-03;-668.4784004436901;-1.4423063620203673;
2024-10-04;-681.58232742867;-1.5415144711907929;
2024-10-07;-659.1057583523727;-1.056901208021747;
2024-10-08;-672.2375366408367;-1.2495998233227907;
2024-10-09;-665.10563882281;-1.0345670364447912;
2024-10-10;-653.6207715871807;-0.6952890671628358;
2024-10-11;-660.4984488469997;-0.8137174002820741;
2024-10-14;-660.3989369585815;-0.7491328822593439;
2024-10-15;-650.8075414228817;-0.359888920884878;
2024-10-16;-636.2858540412165;0.42038240899497215;
2024-10-17;-636.8958608566375;0.516194267784295;
2024-10-18;-634.6440868898469;0.6853163989890922;
2024-10-21;-627.5288151998643;1.0862602861148816;
2024-10-22;-631.3273026805866;0.9234423588495597;
2024-10-23;-594.0358704207281;2.480085282806178;SELL
