Date;Spread;Z-Score;Signal
2024-01-02;-134.410679152007;;
2024-01-03;-121.24803867903864;;
2024-01-04;-130.662289429189;;
2024-01-05;-152.82207449409458;;
2024-01-08;-152.4174837395165;;
2024-01-09;-156.4188732006383;;
2024-01-10;-146.69837218022246;;
2024-01-11;-148.28621186977614;;
2024-01-12;-140.2077948911691;;
2024-01-16;-147.2603040471963;;
2024-01-17;-149.6093747832329;;
2024-01-18;-148.73970974852915;;
2024-01-19;-138.48645847180143;;
2024-01-22;-146.41793936131222;;
2024-01-23;-137.9149221780902;;
2024-01-24;-143.94467569373563;;
2024-01-25;-129.1873235565543;;
2024-01-26;-123.95425316071601;;
2024-01-29;-125.27365790168352;;
2024-01-30;-121.21645914649594;1.649976313060138;
2024-01-31;-128.38241114619018;0.9657777771487286;
2024-02-01;-132.23425422934326;0.7201707768696164;
2024-02-02;-167.79167812012946;-2.1249449507956744;BUY
2024-02-05;-162.7270671279117;-1.5846424815180513;
2024-02-06;-174.08418570819225;-2.1063520250850805;
2024-02-07;-179.95884722008435;-2.144796215309637;
2024-02-08;-176.6861674969727;-1.7007872383741474;
2024-02-09;-199.68791730559616;-2.360334979486623;
2024-02-12;-195.99083601298963;-1.8601406042654234;
2024-02-13;-201.27677820306195;-1.7871124034483934;
2024-02-14;-207.57263660844285;-1.7478368354269607;
2024-02-15;-207.7969918287696;-1.5439214640543053;
2024-02-16;-216.02522538999762;-1.5844528507969353;
2024-02-20;-209.89668149889326;-1.2535553878967765;
2024-02-21;-213.49556986498385;-1.2205637944876264;
2024-02-22;-212.6803813970427;-1.0806214293030008;
2024-02-23;-213.03856091382062;-0.9911481609691192;
2024-02-26;-212.9556927985821;-0.9049358035746854;
2024-02-27;-210.0603407671187;-0.7443408707516458;
2024-02-28;-201.92147384235142;-0.4017715526810515;
2024-02-29;-205.19101031856752;-0.45456459362531476;
2024-03-01;-200.90630201256562;-0.14481551776375512;EXIT
2024-03-04;-206.4418425486516;-0.3980810138812951;
2024-03-05;-210.59394000875204;-0.6280302868175398;
2024-03-06;-222.25635052514474;-1.530708855969024;
2024-03-07;-227.88088094947807;-1.9212493657717848;BUY
2024-03-08;-226.12057099533496;-1.8831777890497265;
2024-03-11;-222.26168577718818;-1.2905121035398333;
2024-03-12;-226.20645651369364;-1.605746625202634;
2024-03-13;-233.74458751251495;-2.115671503960059;
2024-03-14;-236.84851717104203;-2.0430713026042584;
2024-03-15;-242.3616500982654;-2.123886508709136;
2024-03-18;-224.54577901168534;-0.5581111782639078;
2024-03-19;-222.4624062746413;-0.33128753313827314;
2024-03-20;-225.26029199678976;-0.5196043113252726;
2024-03-21;-223.338427247523;-0.3114393851434553;
2024-03-22;-220.62886595170403;-0.04599385454967012;EXIT
2024-03-25;-226.62999791517302;-0.5096663296834019;
2024-03-26;-230.69147139852498;-0.7797391156184903;
2024-03-27;-239.6877304492524;-1.44817198798691;
2024-03-28;-235.23798668701698;-0.9634975435788452;
2024-04-01;-242.891480047326;-1.650591417471672;
2024-04-02;-245.3098776179546;-1.8030736687849291;BUY
2024-04-03;-246.26550962523123;-1.783821507971846;
2024-04-04;-244.92759300569253;-1.4479419468050954;
2024-04-05;-250.62756154013306;-1.7936107842924094;
2024-04-08;-240.26634000860753;-0.6501311829553241;
2024-04-09;-236.2845562525962;-0.1705862574356333;EXIT
2024-04-10;-241.79477835156575;-0.6907604209962124;
2024-04-11;-233.8080530330082;0.18467440472434765;
2024-04-12;-227.9640885787569;0.7641500004274884;
2024-04-15;-229.36178935507928;0.5482872750227316;
2024-04-16;-223.60773101448342;1.162486568122862;
2024-04-17;-216.34203446696142;1.8167852826643245;SELL
2024-04-18;-213.80538088218054;1.857502074664048;
2024-04-19;-215.79695987081936;1.5598084927887115;
2024-04-22;-210.69804625506356;1.8446691184302206;
2024-04-23;-224.70153533562865;0.653882103327865;
2024-04-24;-206.13256912493023;1.8887483778070973;
2024-04-25;-212.77091965346693;1.24614267058898;
2024-04-26;-215.8555249053149;0.9323885083623644;
2024-04-29;-218.25186224005756;0.6843228531351131;
2024-04-30;-220.13467341222753;0.47634857680584547;
2024-05-01;-222.60707181603527;0.21486222165159008;
2024-05-02;-195.94456880741802;2.0372358374746367;
2024-05-03;-187.82599294850218;2.3260033241691547;
2024-05-06;-190.62717388037447;1.8639402078101643;
2024-05-07;-193.02357556860295;1.5193496018491757;
2024-05-08;-196.10191323204594;1.2220506338678245;
2024-05-09;-201.5962997097888;0.7409085697688662;
2024-05-10;-191.3679055084002;1.3825363339347798;
2024-05-13;-189.69884798443002;1.3788806280817345;
2024-05-14;-187.12932419047388;1.419545281563695;
2024-05-15;-181.92064979035263;1.5961748387837222;
2024-05-16;-163.2360085555042;2.3476421293464287;
2024-05-17;-164.76494716018658;1.9141288031628054;
2024-05-20;-159.31109020192162;1.8850825850790696;
2024-05-21;-163.21906139471844;1.5194225483867663;
2024-05-22;-160.49520912241167;1.4653320625995123;
2024-05-23;-171.37872176828398;0.8489627557909927;
2024-05-24;-164.4422386447983;1.081811985035295;
2024-05-28;-178.93151198001596;0.28207554948806424;
2024-05-29;-184.76004660732167;-0.14091859578999646;EXIT
2024-05-30;-182.78189816784635;-0.17224294753181588;
2024-05-31;-203.5281066263878;-1.598453411709175;
2024-06-03;-201.9663112661691;-1.37114036539688;
2024-06-04;-188.12016902244034;-0.45342019097193836;
2024-06-05;-183.38744892281971;-0.1698677678189782;
2024-06-06;-191.84256709966292;-0.7742503639173948;
2024-06-07;-194.56581256700048;-1.0202833945411673;
2024-06-10;-210.6003431245661;-1.9104437047560212;BUY
2024-06-11;-211.557411640974;-1.7477894817264215;
2024-06-12;-211.29332552665824;-1.548797703528503;
2024-06-13;-208.86202372027367;-1.2760124638230057;
2024-06-14;-205.71276397241206;-1.0044960454650111;
2024-06-17;-200.19967400859855;-0.6308687282692594;
2024-06-18;-201.05214908909215;-0.6034153375102667;
2024-06-20;-206.76447343294177;-0.8653706839398877;
2024-06-21;-209.3142011325869;-0.9719817341697223;
2024-06-24;-213.4492551634076;-1.1710010909671744;
2024-06-25;-206.700293447305;-0.6238467041106791;
2024-06-26;-205.97740079342577;-0.4839263856207906;
2024-06-27;-200.36243355745762;0.16602755761749402;EXIT
2024-06-28;-196.90684512047233;0.693815919443154;
2024-07-01;-194.03963219834975;0.9598691782877509;
2024-07-02;-191.30249850688716;1.1737167511017041;
2024-07-03;-193.16491875229474;1.0303707960067692;
2024-07-05;-175.08077962795255;2.767636292742654;SELL
2024-07-08;-191.18638147108754;1.0689635348402777;
2024-07-09;-201.2018786942553;0.05672663762433637;EXIT
2024-07-10;-199.4454247667843;0.18842794682125472;
2024-07-11;-205.85814030499762;-0.5550006394735627;
2024-07-12;-201.3218329688841;-0.10767617276915593;
2024-07-15;-201.74723591396344;-0.20375094720944928;
2024-07-16;-216.0728705598113;-1.7153809747924762;
2024-07-17;-211.50824011789905;-1.1084821699425926;
2024-07-18;-201.45358862685748;-0.0331585662720278;
2024-07-19;-194.82232229075208;0.6106542035268442;
2024-07-22;-199.6516580413611;0.0449541562682999;
2024-07-23;-204.43134129204861;-0.5566760036831466;
2024-07-24;-211.2881768720601;-1.2843795022157458;
2024-07-25;-200.85508307932065;-0.14432455191639104;
2024-07-26;-200.92349923541286;-0.14885213291451116;
2024-07-29;-205.5138323265959;-0.6164432696170232;
2024-07-30;-218.3288016833631;-1.7711474194799903;
2024-07-31;-211.4320006262583;-0.9554641574918108;
2024-08-01;-171.957945805647;2.5183903418341655;SELL
2024-08-02;-172.6865549972855;2.3853376595679476;
2024-08-05;-160.55046493343463;2.6260623414094364;
2024-08-06;-172.36085091013683;1.6057103815897265;
2024-08-07;-173.81938816170964;1.3596561773969267;
2024-08-08;-184.41535665666515;0.667151029665683;
2024-08-09;-186.64560716763003;0.49095438947918446;
2024-08-12;-173.03371405982568;1.163484491027058;
2024-08-13;-179.7164585068051;0.705222898128856;
2024-08-14;-180.28293830919642;0.597457226246735;
2024-08-15;-187.41241012806154;0.12761994725752707;EXIT
2024-08-16;-198.6039977077429;-0.5400979097755397;
2024-08-19;-195.14324219752797;-0.34631682947459136;
2024-08-20;-189.8060676293088;-0.0667013472600725;
2024-08-21;-191.25392921815234;-0.2326381901917574;
2024-08-22;-198.031516452503;-0.6956634987004333;
2024-08-23;-213.0177932439014;-1.5717508609774276;
2024-08-26;-212.62544254464723;-1.4791260354236815;
2024-08-27;-214.46697877855746;-1.6397087345165207;
2024-08-28;-226.7239062164433;-2.1624657976841886;BUY
2024-08-29;-238.42715246142615;-2.2901103336427737;
2024-08-30;-237.6677778447397;-1.9175933459929035;
2024-09-03;-231.64738632267688;-1.4962832737520766;
2024-09-04;-234.054532275812;-1.4411182533351126;
2024-09-05;-208.166087907181;-0.19584734286906513;EXIT
2024-09-06;-206.59155634442527;-0.06965333879339225;
2024-09-09;-212.55647789751606;-0.304000944146905;
2024-09-10;-214.67231111505976;-0.3313413230310858;
2024-09-11;-219.94953704265822;-0.541488640632477;
2024-09-12;-224.6561584484473;-0.7396932057227157;
2024-09-13;-229.5642654323119;-0.9591123027658751;
2024-09-16;-234.3709708171516;-1.1497191707283552;
2024-09-17;-213.58479154054612;0.27502896119402465;
2024-09-18;-216.71424892447408;0.1706076858204448;
2024-09-19;-222.15697882268307;-0.14833624364454173;
2024-09-20;-230.03197491410992;-0.7831658484718419;
2024-09-23;-224.8525516715975;-0.21922759850399567;
2024-09-24;-227.62382528680257;-0.4328824394177953;
2024-09-25;-220.30465997226185;0.3589145826511402;
2024-09-26;-211.52020432601824;1.1606563380440438;
2024-09-27;-216.17195488991393;0.6129641439486254;
2024-09-30;-213.44172839678174;0.8325292825832814;
2024-10-01;-212.9379939380152;0.8055048621645452;
2024-10-02;-203.15180841389048;1.7746672631752072;
2024-10-03;-205.82557888292672;1.417595149493711;
2024-10-04;-209.80050351910387;0.9974602174604348;
2024-10-07;-209.08919168097964;1.0420044245122202;
2024-10-08;-207.2125130498306;1.1749249768389418;
2024-10-09;-206.73761823682958;1.11559833865118;
2024-10-10;-213.17455891003732;0.35824220994341954;
2024-10-11;-207.44448990215898;0.9044296477899985;
2024-10-14;-206.03233582413714;1.0241808388025584;
2024-10-15;-201.26418345175;1.4688745624920438;
2024-10-16;-225.3901679449806;-1.360201671377853;
2024-10-17;-213.63708848454542;-0.04246860855785021;
2024-10-18;-177.38658733067888;3.0941844487304397;SELL
2024-10-21;-145.1908263744944;3.4705474008005;
2024-10-22;-141.38070947874883;2.739429279076667;
2024-10-23;-145.75683426409455;2.102362853276543;
2024-10-24;-149.44001385056924;1.6930563421737663;
2024-10-25;-147.67098967178129;1.5452582940914652;
2024-10-28;-149.41275087449088;1.3251952982624435;
2024-10-29;-142.53239210475346;1.38465654512517;
2024-10-30;-155.85993329233582;0.8670071749842337;
2024-10-31;-160.17748600052647;0.6580855689749404;
2024-11-01;-165.05526354275833;0.43861766471549685;
2024-11-04;-154.31107451868127;0.7099842473648296;
2024-11-05;-162.34594913678677;0.3797706847018342;
2024-11-06;-165.02282394925845;0.22558315699694348;
