Date;Spread;Z-Score;Signal
2024-01-02;-45.29592965879384;;
2024-01-03;-41.359969864170296;;
2024-01-04;-37.99133333981112;;
2024-01-05;-36.897002918256064;;
2024-01-08;-40.16280282064109;;
2024-01-09;-38.457030964125536;;
2024-01-10;-38.209242621047665;;
2024-01-11;-35.467349189091976;;
2024-01-12;-35.62835359648328;;
2024-01-16;-37.350162880497365;;
2024-01-17;-35.71787491092928;;
2024-01-18;-40.9527217685454;;
2024-01-19;-44.08759441079998;;
2024-01-22;-47.922642991154135;;
2024-01-23;-49.55568653269536;;
2024-01-24;-48.52152469055969;;
2024-01-25;-45.531170438839794;;
2024-01-26;-41.15620912029675;;
2024-01-29;-42.964057483684755;;
2024-01-30;-40.54366098378432;0.14590481027276145;
2024-01-31;-42.25061492814929;-0.28089589619195665;
2024-02-01;-39.71322563951725;0.28642287413020656;
2024-02-02;-37.905586719370106;0.7022008253472485;
2024-02-05;-39.350337205864776;0.4053546273619185;
2024-02-06;-43.11263539776276;-0.4436625588414053;
2024-02-07;-41.740588881196274;-0.0845416289842859;
2024-02-08;-45.591640643043945;-0.9036691511204943;
2024-02-09;-46.96274194631404;-1.1226661109655998;
2024-02-12;-47.58916596317421;-1.1745789451926538;
2024-02-13;-47.09546753108832;-0.9574591768062127;
2024-02-14;-49.85092450294644;-1.5697520684723918;
2024-02-15;-49.004929288308404;-1.202860284550696;
2024-02-16;-46.7482161489211;-0.5569335378903278;
2024-02-20;-46.06395920145428;-0.4063301127016526;
2024-02-21;-44.42637905598954;-0.03432018886516307;
2024-02-22;-45.91214010787563;-0.5130726899518301;
2024-02-23;-44.21038478599793;-0.029898595518015065;
2024-02-26;-45.55166850804707;-0.36931897327200625;
2024-02-27;-46.96660200077453;-0.7289138819562959;
2024-02-28;-44.46444965996518;0.081358239645145;
2024-02-29;-46.765595914465564;-0.5696061547987797;
2024-03-01;-48.6413282560885;-1.0689292481620973;
2024-03-04;-45.43450950230306;0.13748102822094815;
2024-03-05;-38.72751015521004;2.742266484984953;SELL
2024-03-06;-44.49242447923386;0.5275039399679547;
2024-03-07;-46.732055930263115;-0.2894677104648405;
2024-03-08;-45.27001610103902;0.33416973789767407;
2024-03-11;-45.92023682434315;0.0316620046675951;EXIT
2024-03-12;-48.13443333266771;-0.9057903801927846;
2024-03-13;-44.93225923616728;0.4204676692414011;
2024-03-14;-42.69520417927109;1.2751595361428831;
2024-03-15;-40.54781811404571;1.9487399494958322;SELL
2024-03-18;-39.8195965663286;1.9106706261294282;
2024-03-19;-40.93871829831852;1.3218022309180681;
2024-03-20;-46.639788470977365;-0.7254850000244818;
2024-03-21;-45.99660797329767;-0.49026212957365617;
2024-03-22;-45.70774875440024;-0.35739500281982967;
2024-03-25;-44.10245884111259;0.19690788590613317;EXIT
2024-03-26;-43.90630258292836;0.2165190316331278;
2024-03-27;-46.154080545270304;-0.5758611925021508;
2024-03-28;-46.43015849652892;-0.6861446372894827;
2024-04-01;-45.26163244444599;-0.3400030963014346;
2024-04-02;-46.316677422919085;-0.7278202389464145;
2024-04-03;-48.31007069671756;-1.4464563518476723;
2024-04-04;-45.199689359824845;-0.10612321103291045;
2024-04-05;-45.81235702765173;-0.39159909092875633;
2024-04-08;-44.55577948683337;0.13520900273781333;
2024-04-09;-45.884548318040515;-0.4391661580249144;
2024-04-10;-43.01849913938908;0.7185755699926055;
2024-04-11;-45.78134742463894;-0.5052323313841017;
2024-04-12;-43.594847120487714;0.5021556193355061;
2024-04-15;-41.31722938411794;1.6073518159635247;
2024-04-16;-40.81384353500222;1.9713169523997893;SELL
2024-04-17;-40.02130273065758;2.230926103719277;
2024-04-18;-37.94547904695963;2.4915316406900296;
2024-04-19;-34.901020025542536;2.7057691602197464;
